	title	url	party	year	type	lang	doc_id	party_abbr
0	                  Suomen työväenpuolueen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/STP3/444	Suomen työväenpuolue	1899	yleisohjelma	FI	STP3_444	STP3
1	                  Kristillisen liiton kunnallisvaaliohjelma 2000                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/696	Suomen kristillinen liitto	2000	vaaliohjelma	FI	SKL_696	SKL
2	                  EU-vaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/682	Suomen kristillinen liitto	1999	vaaliohjelma	FI	SKL_682	SKL
3	                  VAALIOHJELMA Eduskuntavaalit ´99                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/714	Suomen kristillinen liitto	1999	vaaliohjelma	FI	SKL_714	SKL
4	                  Kristillisen Liiton tavoiteohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/707	Suomen kristillinen liitto	1998	yleisohjelma	FI	SKL_707	SKL
5	                  Maa- ja metsätalouspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/699	Suomen kristillinen liitto	1998	erityisohjelma	FI	SKL_699	SKL
6	                  Lapsipoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/697	Suomen kristillinen liitto	1997	erityisohjelma	FI	SKL_697	SKL
7	                  Kristliga Förbundets riksdagsgrupps åtgärdsprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/680	Suomen kristillinen liitto	1996	erityisohjelma	SV	SKL_680	SKL
8	                  Kunnallisvaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/695	Suomen kristillinen liitto	1996	vaaliohjelma	FI	SKL_695	SKL
9	                  Kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/694	Suomen kristillinen liitto	1988	erityisohjelma	FI	SKL_694	SKL
10	                  Suomen kristillisen liiton eduskuntavaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/713	Suomen kristillinen liitto	1987	vaaliohjelma	FI	SKL_713	SKL
11	                  SKL:n Ympäristöpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/719	Suomen kristillinen liitto	1986	erityisohjelma	FI	SKL_719	SKL
12	                  Suomen Kristillisen Liiton yleisohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/718	Suomen kristillinen liitto	1982	yleisohjelma	FI	SKL_718	SKL
13	                  SKL:n Kulttuuripoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/690	Suomen kristillinen liitto	1981	erityisohjelma	FI	SKL_690	SKL
14	                  SKL:n kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/693	Suomen kristillinen liitto	1980	erityisohjelma	FI	SKL_693	SKL
15	                  Kristillisen liiton periaateohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/704	Suomen kristillinen liitto	1979	yleisohjelma	FI	SKL_704	SKL
16	                  SKL:n Aluepoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/678	Suomen kristillinen liitto	1977	erityisohjelma	FI	SKL_678	SKL
17	                  SKL:n Eläkeläispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/681	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_681	SKL
18	                  SKL:n koulupoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/688	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_688	SKL
19	                  SKL:n kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/692	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_692	SKL
20	                  SKL:n Terveyspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/708	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_708	SKL
21	                  SKL:n Väestöpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/715	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_715	SKL
22	                  SKL:n Koulupoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/687	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_687	SKL
23	                  SKL:n Kuluttajapoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/691	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_691	SKL
24	                  SKL:n Liikennepoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/698	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_698	SKL
25	                  SKL:n Työpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/710	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_710	SKL
26	                  SKL:n ulkopoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/712	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_712	SKL
27	                  SKL:n Kriminaalipoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/689	Suomen kristillinen liitto	1974	erityisohjelma	FI	SKL_689	SKL
28	                  SKL:n Raittiuspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/705	Suomen kristillinen liitto	1974	erityisohjelma	FI	SKL_705	SKL
29	                  SKL:n Turvallisuuspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/709	Suomen kristillinen liitto	1974	erityisohjelma	FI	SKL_709	SKL
30	                  SKL:n Ulkopoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/711	Suomen kristillinen liitto	1974	erityisohjelma	FI	SKL_711	SKL
31	                  SKL:n Veropoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/716	Suomen kristillinen liitto	1974	erityisohjelma	FI	SKL_716	SKL
32	                  Kalataloudellinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/684	Suomen kristillinen liitto	1973	erityisohjelma	FI	SKL_684	SKL
33	                  SKL:n Kehitysyhteistyöohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/685	Suomen kristillinen liitto	1973	erityisohjelma	FI	SKL_685	SKL
34	                  SKL:n Kirkkopoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/686	Suomen kristillinen liitto	1973	erityisohjelma	FI	SKL_686	SKL
35	                  SKL:n Maatalouspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/700	Suomen kristillinen liitto	1973	erityisohjelma	FI	SKL_700	SKL
36	                  SKL:n Nuorisopoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/703	Suomen kristillinen liitto	1973	erityisohjelma	FI	SKL_703	SKL
37	                  SKL:n Asuntopoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/679	Suomen kristillinen liitto	1972	erityisohjelma	FI	SKL_679	SKL
38	                  SKL:n Kalataloudellinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/683	Suomen kristillinen liitto	1972	erityisohjelma	FI	SKL_683	SKL
39	                  SKL:n Metsäpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/702	Suomen kristillinen liitto	1972	erityisohjelma	FI	SKL_702	SKL
40	                  SKL:n Romaaniohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/706	Suomen kristillinen liitto	1972	erityisohjelma	FI	SKL_706	SKL
41	                  Suomen Kristillisen Liiton Yleisohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/717	Suomen kristillinen liitto	1969	yleisohjelma	FI	SKL_717	SKL
42	                  SKL:n Metsäpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/701	Suomen kristillinen liitto	-	erityisohjelma	FI	SKL_701	SKL
43	                  Rohkeutta olla sinun puolellasi - SDP:n eduskuntavaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1474	Suomen Sosialidemokraattinen Puolue	2023	vaaliohjelma	FI	SDP_1474	SDP
44	                  Vahvempi Suomi uuteen kasvuun                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1494	Suomen Sosialidemokraattinen Puolue	2022	erityisohjelma	FI	SDP_1494	SDP
45	                  Hyvinvoinnin seuraava askel - SDP:n aluevaaliohjelma 2022                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1429	Suomen Sosialidemokraattinen Puolue	2021	vaaliohjelma	FI	SDP_1429	SDP
46	                  Julkinen hallinto 2020-luvun hyvinvointivaltiossa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1496	Suomen Sosialidemokraattinen Puolue	2021	erityisohjelma	FI	SDP_1496	SDP
47	                  Kuntavaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1422	Suomen Sosialidemokraattinen Puolue	2021	vaaliohjelma	FI	SDP_1422	SDP
48	                  Nästä etapp för välfärden - SDP:s program för välfärdsområdesvalet 2022                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1449	Suomen Sosialidemokraattinen Puolue	2021	vaaliohjelma	SV	SDP_1449	SDP
49	                  Periaatejulistus Yhdessä kestävään maailmaan                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1388	Suomen Sosialidemokraattinen Puolue	2020	yleisohjelma	FI	SDP_1388	SDP
50	                  Poliittinen ohjelma - Ratkaisuja kestävään tulevaisuuteen                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1390	Suomen Sosialidemokraattinen Puolue	2020	tavoiteohjelma	FI	SDP_1390	SDP
51	                  Principdeklaration Tillsammans mot en hållbar värld                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1450	Suomen Sosialidemokraattinen Puolue	2020	yleisohjelma	SV	SDP_1450	SDP
52	                  Ihmisten Eurooppa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1373	Suomen Sosialidemokraattinen Puolue	2019	vaaliohjelma	FI	SDP_1373	SDP
53	                  Oikeus omannäköiseen ja hyvään elämään myös ikääntyneenä! Ikäpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1530	Suomen Sosialidemokraattinen Puolue	2019	tavoiteohjelma	FI	SDP_1530	SDP
54	                  SDP:n ilmasto-ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1482	Suomen Sosialidemokraattinen Puolue	2019	erityisohjelma	FI	SDP_1482	SDP
55	                  Tulevaisuuslinja. SDP:n vaalitavoitteita ja muutoksen suunta 2030                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1350	Suomen Sosialidemokraattinen Puolue	2019	vaaliohjelma	FI	SDP_1350	SDP
56	                  Allmäntrygghet                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1243	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	SV	SDP_1243	SDP
57	                  Kestävään globalisaation hallintaan                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1172	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1172	SDP
58	                  Kulttuuri kuuluu kaikille                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1332	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1332	SDP
59	                  SDP:n toimenpideohjelma lasten ja nuorten mielenterveyden parantamiseksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1333	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1333	SDP
60	                  Terve sisäilma on jokaisen oikeus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1327	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1327	SDP
61	                  Verotus tulevaisuuden hyvinvointivaltiossa - SDP:n vero-ohjelma 2018                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1165	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1165	SDP
62	                  Yleisturva-ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1495	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1495	SDP
63	                  YLEISTURVA - yksinkertaisesti parempi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1174	Suomen Sosialidemokraattinen Puolue	2018	erityisohjelma	FI	SDP_1174	SDP
64	                  A Humane Finland. SDP's themes in municipal elections 2017                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/951	Suomen Sosialidemokraattinen Puolue	2017	vaaliohjelma	EN	SDP_951	SDP
65	                  Alla ska med. SDP:s teman i kommunalvalet 2017                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/950	Suomen Sosialidemokraattinen Puolue	2017	vaaliohjelma	SV	SDP_950	SDP
66	                  Ansvarstagandets, jämlikhetens, jämställdhetens och den solidariska frihetens rörelse - SDP:s principprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1034	Suomen Sosialidemokraattinen Puolue	2017	yleisohjelma	SV	SDP_1034	SDP
67	                  Haaveena onnellinen lapsuus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1191	Suomen Sosialidemokraattinen Puolue	2017	erityisohjelma	FI	SDP_1191	SDP
68	                  Kaikki mukaan - Sosialidemokraattien vaihtoehtobudjetti 2017                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1239	Suomen Sosialidemokraattinen Puolue	2017	muu ohjelma	FI	SDP_1239	SDP
69	                  Kuntavaalit 2017 - Linjaukset kuntien vaaliohjelman pohjaksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/989	Suomen Sosialidemokraattinen Puolue	2017	vaaliohjelma	FI	SDP_989	SDP
70	                  Pidetään kaikki mukana. SDP:n teemat kuntavaaleissa 2017                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/944	Suomen Sosialidemokraattinen Puolue	2017	vaaliohjelma	FI	SDP_944	SDP
71	                  SDP:n nuorisotakuu 2.0                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1087	Suomen Sosialidemokraattinen Puolue	2017	erityisohjelma	FI	SDP_1087	SDP
72	                  Sdp’s youth guarantee 2.0                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1244	Suomen Sosialidemokraattinen Puolue	2017	erityisohjelma	EN	SDP_1244	SDP
73	                  Vastuun, tasa-arvon ja solidaarisen vapauden liike - SDP:n periaateohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1003	Suomen Sosialidemokraattinen Puolue	2017	yleisohjelma	FI	SDP_1003	SDP
74	                  Verot Suomeen                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1341	Suomen Sosialidemokraattinen Puolue	2017	erityisohjelma	FI	SDP_1341	SDP
75	                  Koulutuspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1000	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_1000	SDP
76	                  Kuntien elinkeino- ja omistajapoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1009	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_1009	SDP
77	                  Ongelmista ratkaisuihin - SDP:n juurevan kotoutumisen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1004	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_1004	SDP
78	                  SDP:n esityksiä pitkäaikaistyöttömyyden helpottamiseksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/988	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_988	SDP
79	                  SDP:n sinivalkoisen omistamisen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1085	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_1085	SDP
80	                  SDP:n vammaispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1002	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_1002	SDP
81	                  Turvaa ja vapautta muuttuvassa maailmassa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1086	Suomen Sosialidemokraattinen Puolue	2016	erityisohjelma	FI	SDP_1086	SDP
82	                  Suomi työlinjalle - Sosialidemokraattien vaihtoehtobudjetti 2016                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1173	Suomen Sosialidemokraattinen Puolue	2015	muu ohjelma	FI	SDP_1173	SDP
83	                  Suunta Suomelle - SDP:n vaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1164	Suomen Sosialidemokraattinen Puolue	2015	vaaliohjelma	FI	SDP_1164	SDP
84	                  Suunta Suomelle - Sosialidemokraattien kuuden kohdan talouslinja                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1001	Suomen Sosialidemokraattinen Puolue	2015	erityisohjelma	FI	SDP_1001	SDP
85	                  Suunta Suomelle – Työtä, tasa-arvoa ja turvallisuutta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1008	Suomen Sosialidemokraattinen Puolue	2015	erityisohjelma	FI	SDP_1008	SDP
86	                  Suunta Suomelle - Uutta työtä vientivetoisella kasvulla                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1084	Suomen Sosialidemokraattinen Puolue	2015	erityisohjelma	FI	SDP_1084	SDP
87	                  Kansainvälinen julkilausuma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/990	Suomen Sosialidemokraattinen Puolue	2014	muu ohjelma	FI	SDP_990	SDP
88	                  Kasvu alkaa perheestä - Lapsi- ja perheystävälliseen yhteiskuntaan                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/994	Suomen Sosialidemokraattinen Puolue	2014	erityisohjelma	FI	SDP_994	SDP
89	                  Oikeudenmukainen Eurooppa – laitetaan Eurooppa töihin                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/991	Suomen Sosialidemokraattinen Puolue	2014	vaaliohjelma	FI	SDP_991	SDP
90	                  SDP:n seurakuntavaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/962	Suomen Sosialidemokraattinen Puolue	2014	vaaliohjelma	FI	SDP_962	SDP
91	                  Tasa-arvo, vapaus ja solidaarisuus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/966	Suomen Sosialidemokraattinen Puolue	2014	erityisohjelma	FI	SDP_966	SDP
92	                  Työn ja oikeudenmukaisuuden linja energia- ja ilmastopolitiikassa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/995	Suomen Sosialidemokraattinen Puolue	2014	erityisohjelma	FI	SDP_995	SDP
93	                  Finlands svenska socialdemokraters kommunalvalsmanifest 2012                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/494	Suomen Sosialidemokraattinen Puolue	2012	vaaliohjelma	FI	SDP_494	SDP
94	                  NÄKEMYS EUROOPASTA. SDP:n Eurooppa-poliittinen linja                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/973	Suomen Sosialidemokraattinen Puolue	2012	erityisohjelma	FI	SDP_973	SDP
95	                  Reilumpi Suomi - Työ ja oikeudenmukaisuus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/487	Suomen Sosialidemokraattinen Puolue	2012	vaaliohjelma	FI	SDP_487	SDP
96	                  FÖR ARBETE OCH RÄTTVISA. SDP:s linje i den ekonomiska politiken 2011-2015                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/405	Suomen Sosialidemokraattinen Puolue	2011	vaaliohjelma	SV	SDP_405	SDP
97	                  TYÖN JA OIKEUDENMUKAISUUDEN PUOLESTA. SDP:N TALOUSPOLIITTINEN LINJAUS VUOSILLE 2011-2015                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/465	Suomen Sosialidemokraattinen Puolue	2011	vaaliohjelma	FI	SDP_465	SDP
98	                  TYÖSOPIMUS                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/986	Suomen Sosialidemokraattinen Puolue	2011	muu ohjelma	FI	SDP_986	SDP
99	                  SDP:n Seurakuntavaaliohjelma 2010                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/961	Suomen Sosialidemokraattinen Puolue	2010	vaaliohjelma	FI	SDP_961	SDP
100	                  SDP:n vanhuspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1026	Suomen Sosialidemokraattinen Puolue	2010	erityisohjelma	FI	SDP_1026	SDP
101	                  Uuden työn manifesti                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1025	Suomen Sosialidemokraattinen Puolue	2010	erityisohjelma	FI	SDP_1025	SDP
102	                  Varjosta valoon - työn, hyvinvoinnin, sivistyksen ja puhtaan ympäristön Suomi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/987	Suomen Sosialidemokraattinen Puolue	2010	erityisohjelma	FI	SDP_987	SDP
103	                  Euroopan parlamentin vaalien vaaliohjelma 2009                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/414	Suomen Sosialidemokraattinen Puolue	2009	vaaliohjelma	FI	SDP_414	SDP
104	                  Ei vain leivästä - kohti henkistä hyvinvointia -ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1126	Suomen Sosialidemokraattinen Puolue	2008	erityisohjelma	FI	SDP_1126	SDP
105	                  Neljä vuodenaikaa – SDP:n ilmasto-ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1127	Suomen Sosialidemokraattinen Puolue	2008	erityisohjelma	FI	SDP_1127	SDP
106	                  SDP uudistuu -ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1136	Suomen Sosialidemokraattinen Puolue	2008	erityisohjelma	FI	SDP_1136	SDP
107	                  Socialdemokratiskt kommunalvalsprogram 2008 - Från dröm till verklighet                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/420	Suomen Sosialidemokraattinen Puolue	2008	vaaliohjelma	SV	SDP_420	SDP
108	                  Sosialidemokraattinen kuntavaaliohjelma 2008 - Unelmista todeksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/433	Suomen Sosialidemokraattinen Puolue	2008	vaaliohjelma	FI	SDP_433	SDP
109	                  Suomalaisen työn tulevaisuus - sisulla, sydämellä, osaamisella -ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/1135	Suomen Sosialidemokraattinen Puolue	2008	erityisohjelma	FI	SDP_1135	SDP
110	                  Toimiva kunta - hyvinvoiva kuntalainen -ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/476	Suomen Sosialidemokraattinen Puolue	2008	erityisohjelma	FI	SDP_476	SDP
111	                  Me pidämme ääntä puolestasi: SDP:n tavoitteet vaalikaudelle 2007-2011                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/489	Suomen Sosialidemokraattinen Puolue	2007	vaaliohjelma	FI	SDP_489	SDP
112	                  SDP:s mål för mandatperioden 2007-2011                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/492	Suomen Sosialidemokraattinen Puolue	2007	vaaliohjelma	SV	SDP_492	SDP
113	                  Eduskuntavaaliohjelma: Reilu Suomi - työtä ja välittämistä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/404	Suomen Sosialidemokraattinen Puolue	2006	vaaliohjelma	FI	SDP_404	SDP
114	                  Församlingsvalsprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/416	Suomen Sosialidemokraattinen Puolue	2006	vaaliohjelma	SV	SDP_416	SDP
115	                  Seurakuntavaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/461	Suomen Sosialidemokraattinen Puolue	2006	vaaliohjelma	FI	SDP_461	SDP
116	                  Valprogram: Ett rejält Finland - arbete och hänsyn                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/493	Suomen Sosialidemokraattinen Puolue	2006	vaaliohjelma	SV	SDP_493	SDP
117	                  Tavoitteena vahva Eurooppa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/409	Suomen Sosialidemokraattinen Puolue	2005	erityisohjelma	FI	SDP_409	SDP
118	                  Yhteisvastuu ja hyvinvointi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/417	Suomen Sosialidemokraattinen Puolue	2005	erityisohjelma	FI	SDP_417	SDP
119	                  Huolenpitoa huomisesta - SDP:n tavoitteet kunnallisvaaleissa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/486	Suomen Sosialidemokraattinen Puolue	2004	vaaliohjelma	FI	SDP_486	SDP
120	                  IHMISTEN EUROOPPAAN                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/413	Suomen Sosialidemokraattinen Puolue	2004	vaaliohjelma	FI	SDP_413	SDP
121	                  Omsorg om morgondagen - SDP:s målsättningar inför kommunalvalet                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/491	Suomen Sosialidemokraattinen Puolue	2004	vaaliohjelma	SV	SDP_491	SDP
122	                  SDP:n eurokymppi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/410	Suomen Sosialidemokraattinen Puolue	2004	vaaliohjelma	FI	SDP_410	SDP
123	                  SDP:s program inför valet av Europas riksdag 2004                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/411	Suomen Sosialidemokraattinen Puolue	2004	vaaliohjelma	SV	SDP_411	SDP
124	                  SDP:s tio i topp för Europa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/415	Suomen Sosialidemokraattinen Puolue	2004	vaaliohjelma	SV	SDP_415	SDP
125	                  Vaaliohjelma 2003                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/485	Suomen Sosialidemokraattinen Puolue	2003	vaaliohjelma	FI	SDP_485	SDP
126	                  Valprogram 2003                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SDP/490	Suomen Sosialidemokraattinen Puolue	2003	vaaliohjelma	SV	SDP_490	SDP
