id,sent_id,form,lemma,case,deprel,sentence
0,1,Viime,viime,,amod,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
1,2,kesänä,kesä,"{'Case': 'Ess', 'Number': 'Sing'}",obl,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
2,4,itseäni,itse,"{'Case': 'Par', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '1', 'Reflex': 'Yes'}",obj,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
3,7,juurilta,juuri,"{'Case': 'Abl', 'Number': 'Sing'}",obl,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
4,8,.,.,,punct,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
5,3,löysin,löytää,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
6,5,modernin,moderni,"{'Case': 'Gen', 'Degree': 'Pos', 'Number': 'Sing'}",amod,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
7,6,matkailukulttuurin,matkailu#kulttuuri,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Viime kesänä löysin itseäni modernin matkailukulttuurin juurilta.
8,1,Kautta,kautta,{'AdpType': 'Prep'},case,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
9,2,kesän,kesä,"{'Case': 'Gen', 'Number': 'Sing'}",obl,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
10,5,pyhiinvaeltajat,pyhiin#vaeltaja,"{'Case': 'Nom', 'Derivation': 'Ja', 'Number': 'Plur'}",nsubj,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
11,7,yömajaa,yö#maja,"{'Case': 'Par', 'Number': 'Sing'}",obj,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
12,17,välipiste,väli#piste,"{'Case': 'Nom', 'Number': 'Sing'}",advcl,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
13,18,.,.,,punct,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
14,3,saivat,saada,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
15,4,erilaiset,erilainen,"{'Case': 'Nom', 'Degree': 'Pos', 'Derivation': 'Lainen', 'Number': 'Plur'}",amod,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
16,6,seurakuntakodissamme,seura#kunta#kodissa,"{'Case': 'Gen', 'Number': 'Sing', 'Number[psor]': 'Plur', 'Person[psor]': '1'}",nmod:poss,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
17,8,",",",",,punct,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
18,9,kun,kun,,mark,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
19,10,seurakuntamme,seura#kunta,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Plur', 'Person[psor]': '1'}",nsubj:cop,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
20,11,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
21,15,pyhiinvaellusreitin,pyhiin#vaellus#reitti,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
22,16,virallinen,virallinen,"{'Case': 'Nom', 'Degree': 'Pos', 'Derivation': 'Llinen', 'Number': 'Sing'}",amod,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
23,12,virolaisen,virolainen,"{'Case': 'Gen', 'Degree': 'Pos', 'Derivation': 'Lainen', 'Number': 'Sing'}",amod,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
24,13,Pyhän,pyhä,"{'Case': 'Gen', 'Degree': 'Pos', 'Number': 'Sing'}",amod,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
25,14,Jaakobin,Jaakobi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Kautta kesän saivat erilaiset pyhiinvaeltajat seurakuntakodissamme yömajaa, kun seurakuntamme on virolaisen Pyhän Jaakobin pyhiinvaellusreitin virallinen välipiste."
26,1,Yöpyjiä,yöpyjä,"{'Case': 'Par', 'Derivation': 'Ja', 'Number': 'Plur'}",nsubj:cop,Yöpyjiä oli laidasta laitaan.
27,3,laidasta,laita,"{'Case': 'Ela', 'Number': 'Sing'}",nmod,Yöpyjiä oli laidasta laitaan.
28,2,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,Yöpyjiä oli laidasta laitaan.
29,4,laitaan,laita,"{'Case': 'Ill', 'Number': 'Sing'}",root,Yöpyjiä oli laidasta laitaan.
30,5,.,.,,punct,Yöpyjiä oli laidasta laitaan.
31,1,Oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
32,2,tosi,tosi,,advmod,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
33,3,hurskaita,hurskas,"{'Case': 'Par', 'Degree': 'Pos', 'Number': 'Plur'}",amod,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
34,5,Puolasta,Puola,"{'Case': 'Ela', 'Number': 'Sing'}",nmod,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
35,4,katolilaisia,katolilainen,"{'Case': 'Par', 'Derivation': 'Lainen', 'Number': 'Plur'}",nsubj:cop,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
36,8,",",",",,punct,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
37,9,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
38,10,yhdysvaltalainen,yhdysvaltalainen,"{'Case': 'Nom', 'Degree': 'Pos', 'Derivation': 'Lainen', 'Number': 'Sing'}",amod,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
39,11,iäkäs,iäkäs,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing'}",amod,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
40,17,nuorukaista,nuorukainen,"{'Case': 'Par', 'Number': 'Sing'}",nsubj:cop,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
41,37,.,.,,punct,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
42,6,ja,ja,,cc,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
43,7,Espanjasta,Espanja,"{'Case': 'Ela', 'Number': 'Sing'}",conj,"Oli tosi hurskaita katolilaisia Puolasta ja Espanjasta, oli yhdysvaltalainen iäkäs baptistiherra, oli pari seikkailunhimoista nuorukaista, joiden kohdalla en saanutkaan selvää heidän vaelluksen alusta eikä päämäärästä, kun he osasivat vain pari sanaa englantia."
