id,sent_id,form,lemma,case,deprel,sentence
0,1,Artikkelin,artikkeli,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
1,3,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
2,5,käyttäytyminen,käyttäytyminen,"{'Case': 'Nom', 'Derivation': 'Minen', 'Number': 'Sing'}",nsubj:cop,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
3,7,.,.,,punct,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
4,2,aiheena,aihe,"{'Case': 'Ess', 'Number': 'Sing'}",root,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
5,4,itse-sanan,itse#sana,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:gsubj,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
6,6,nykysuomessa,nyky#suomi,"{'Case': 'Ine', 'Number': 'Sing'}",nmod,Artikkelin aiheena on itse-sanan käyttäytyminen nykysuomessa.
7,1,Artikkelin,artikkeli,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
8,2,alussa,alku,"{'Case': 'Ine', 'Derivation': 'U', 'Number': 'Sing'}",obl,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
9,3,kirjoittaja,kirjoittaja,"{'Case': 'Nom', 'Derivation': 'Ja', 'Number': 'Sing'}",nsubj,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
10,8,pronomini,pronomini,"{'Case': 'Nom', 'Number': 'Sing'}",ccomp,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
11,11,.,.,,punct,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
12,4,käsittelee,käsitellä,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
13,5,",",",",,punct,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
14,6,onko,olla,"{'Clitic': 'Ko', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
15,7,itse-sana,itse#sana,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
16,10,adjektiivi,adjektiivi,"{'Case': 'Nom', 'Number': 'Sing'}",conj,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
17,9,vai,vai,,cc,"Artikkelin alussa kirjoittaja käsittelee, onko itse-sana pronomini vai adjektiivi."
18,1,Kirjoittaja,kirjoittaja,"{'Case': 'Nom', 'Derivation': 'Ja', 'Number': 'Sing'}",nsubj,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
19,5,itse-sanalla,itse#sana,"{'Case': 'Ade', 'Number': 'Sing'}",ccomp,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
20,23,.,.,,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
21,2,näkee,nähdä,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
22,3,",",",",,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
23,4,että,että,,mark,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
24,6,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop:own,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
25,8,alkuperä,alku#perä,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
26,7,substantiivin,substantiivi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
27,9,:,:,,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
28,11,kantasanana,kanta#sana,"{'Case': 'Ess', 'Number': 'Sing'}",parataxis,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
29,10,sen,se,"{'Case': 'Gen', 'Number': 'Sing', 'PronType': 'Dem'}",nmod:poss,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
30,12,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",aux,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
31,13,ollut,olla,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}",cop,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
32,15,varjostelua,varjostelu,"{'Case': 'Par', 'Derivation': 'U', 'Number': 'Sing'}",nsubj:cop,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
33,14,',',,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
34,19,varjoa,varjo,"{'Case': 'Par', 'Number': 'Sing'}",conj,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
35,22,substantiivi,substantiivi,"{'Case': 'Nom', 'Number': 'Sing'}",conj,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
36,16,',',,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
37,18,',',,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
38,20,',',,punct,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
39,17,tai,tai,,cc,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
40,21,merkitsevä,merkitä,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Pres', 'VerbForm': 'Part', 'Voice': 'Act'}",acl,"Kirjoittaja näkee, että itse-sanalla on substantiivin alkuperä: sen kantasanana on ollut 'varjostelua' tai 'varjoa' merkitsevä substantiivi."
41,1,Joissakin,jokin,"{'Case': 'Ine', 'Number': 'Plur', 'PronType': 'Ind'}",det,Joissakin tapauksissa sanan merkitykseksi mainitaan mm 'henkilökohtaisesti'.
42,2,tapauksissa,tapaus,"{'Case': 'Ine', 'Number': 'Plur'}",obl,Joissakin tapauksissa sanan merkitykseksi mainitaan mm 'henkilökohtaisesti'.
43,4,merkitykseksi,merkitys,"{'Case': 'Tra', 'Number': 'Sing'}",xcomp:ds,Joissakin tapauksissa sanan merkitykseksi mainitaan mm 'henkilökohtaisesti'.
44,7,'henkilökohtaisesti,khenkilö#kohtaisesti,{'Derivation': 'Sti'},advmod,Joissakin tapauksissa sanan merkitykseksi mainitaan mm 'henkilökohtaisesti'.
45,8,',',,punct,Joissakin tapauksissa sanan merkitykseksi mainitaan mm 'henkilökohtaisesti'.
46,9,.,.,,punct,Joissakin tapauksissa sanan merkitykseksi mainitaan mm 'henkilökohtaisesti'.
